diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
9.435795176089167,30.468031519816066,-85.50743075027498,sfs,,0.2957056912646294,0.031,59000000,-2740.2744746643216,-2652.0142884592133,4.7178975880445835
4.76609974543245,30.470847025562325,-85.50783649433545,sfs,,0.16886373231773177,0.035,35000000,-2733.341997236624,-2664.181284530009,2.383049872716225
8.113399549114648,30.47579875338669,-85.50963733891443,sfs,,0.2639920390693078,0.033,53000000,-2720.4951932310464,-2718.543157310721,4.056699774557324
13.718398974516674,30.461619188232557,-85.50600487900222,sfs,,0.9261483813615996,0.068,95000000,-2756.3748275767202,-2609.0924211635115,6.859199487258337
14.13166820605899,30.46672061824708,-85.50643755848392,sfs,,1.0813974124866945,0.077,95000000,-2743.9927461354573,-2621.9659666921034,7.065834103029495
7.787017687471892,30.476603548149665,-85.50575046457874,sfs,,0.3651094777169419,0.047,53000000,-2720.933193630997,-2600.665278608469,3.893508843735946
6.077889735025215,30.485165717895143,-85.50593081158573,sfs,,0.20148462155884772,0.033,46000000,-2700.4843906877986,-2605.729118843897,3.0389448675126074
5.044088564614867,30.485143766322206,-85.50645203334803,sfs,,0.1647924476510525,0.033,35000000,-2700.2239903437257,-2621.5322682674077,2.5220442823074336
4.033067027820929,30.480885052126087,-85.50718064837218,sfs,,0.1606886937215677,0.04,30000000,-2709.9010610602327,-2643.822440336237,2.0165335139104643
10.195499331395899,30.480666338767897,-85.50765872990482,sfs,,0.6242728695806363,0.061,68000000,-2710.132672933591,-2658.3269472704596,5.0977496656979495
